video_name,rep_number,label,body_side,min_knee_angle,min_hip_angle,max_torso_lean_degrees,max_depth_ratio,hip_to_ankle_bottom_alignment,avg_knee_angle_descent,avg_hip_angle_descent,max_shin_forward_angle,descent_duration_seconds,ascent_duration_seconds,bottom_pause_duration_seconds,descent_to_ascent_ratio,total_rep_duration,time_to_max_jerk,shoulder_x_sd,hip_x_sd,knee_x_sd,shoulder_hip_x_corr,hip_knee_x_corr,shoulder_max_x_drift,hip_max_x_drift,torso_lean_to_depth_ratio,knee_travel_to_depth_ratio,ascent_path_symmetry,avg_descent_velocity_y,avg_ascent_velocity_y,max_acceleration_y,max_jerk_y,peak_ascent_velocity_y,sticking_point_velocity_drop,velocity_loss_vs_rep_1
bad_bended_back.mp4,1,bad,right,43.049851092890066,14.975019195212415,68.14112261894502,0.19706258669356919,0.1179243534803392,84.43452412214064,53.84097136709243,37.65765127473057,3.7,2.6,0.36666666666666664,1.4230769230769231,6.266666666666667,0.32978723404255317,0.011016248837879142,0.03162060721383688,0.02236450426510829,-0.4550309369610525,-0.8016182796076002,0.05158418416976929,0.11145629882812502,1.0060640584896416,0.3742578408442667,0.9654635553522449,0.0015053019867286566,0.0020941167305676906,0.0009395062923431999,0.0013174414634705995,0.0045490622520446,0.0044090867042541,1.0
bad_bended_back.mp4,2,bad,right,63.28014912038862,14.802451028936952,75.54516214278931,0.28774270033714905,0.1528261065483093,105.86416116142505,68.09194920831953,29.076949143790436,6.166666666666667,3.466666666666667,0.36666666666666664,1.778846153846154,9.6,0.7361111111111112,0.007925865600109137,0.051267315447267425,0.023957985726309385,-0.46081721812167814,-0.9113159112031035,0.02567910552024838,0.13617806136608132,1.3991161805137078,0.325146833864822,0.9624838877933544,0.0007436575760712053,0.0013375540192310184,0.0009028434753417,0.0016202926635743996,0.0038531601428986,0.003834068775176998,0.638719895460853
bad_bended_back.mp4,3,bad,right,61.96415724676641,16.3965332517956,74.85311880399152,0.314072928948566,0.15509682893753052,100.31977294773075,70.69449122306827,31.98241911887869,4.833333333333333,2.3,0.36666666666666664,2.101449275362319,7.1,0.5164319248826291,0.007670306008893422,0.049122886320118936,0.02501303243820012,-0.4212303240179773,-0.8643360371502672,0.029722189903259366,0.13852652609348298,1.6431656211773118,0.5492851094799943,0.9927692211849349,0.0008771070118607705,0.0017895049806953755,0.0009507536888123001,0.0014015674591064998,0.004342770576477,0.004331505298614451,0.8545392692652151
bad_get_up_leaning.mp4,1,bad,right,38.29556929957259,18.269700055453953,87.33550992457371,0.19189172439327062,0.09877890348434448,88.36744530227065,91.39717659851094,57.490998044143176,3.4,2.933333333333333,0.36666666666666664,1.1590909090909092,6.3,0.9523809523809523,0.02965002140418163,0.04553224156810908,0.04087848692973764,-0.9446183417203141,-0.07232542858534613,0.0973107576370239,0.14727617204189308,0.90651921872848,0.4119371161382119,0.0593493983004135,0.0017344516866347004,0.0021320876072753055,0.001331090927124,0.0013073086738586,0.0049305200576781,0.0042472124099731,1.0
bad_get_up_leaning.mp4,2,bad,right,38.10510066564412,13.484593527550224,80.20300321944646,0.1463242182229323,0.10670382976531984,98.21614569229072,90.1861716620716,55.58574501622461,6.133333333333334,4.133333333333334,0.36666666666666664,1.4838709677419355,10.233333333333333,0.41042345276872966,0.018479928775261077,0.05136920530540616,0.03924199907274184,-0.5975738155685455,-0.4040284373438246,0.06196631193161012,0.09783399701118484,0.8348873584409631,0.4375767882517629,0.5439697188425613,0.0010793895501157206,0.0014921941584155956,0.0012252211570738998,0.0017229080200193004,0.0034089922904968,0.003374707698821984,0.6998746924487499
bad_get_up_leaning.mp4,3,bad,right,35.678253766434985,12.922544109644154,83.27738213510185,0.15290858727570433,0.10156869292259213,75.27663847398135,69.84461164050273,55.65139804258327,4.733333333333333,2.7,0.36666666666666664,1.7530864197530864,7.4,0.9459459459459459,0.023056080373633117,0.03740231072200415,0.03801048509545753,-0.7231145808025624,-0.1327335087637892,0.07763894796371457,0.1413263022899628,0.9531473209961954,0.49388691018100966,-0.0952230331506905,0.0012674598206936047,0.0021706144750853664,0.0011021435260773003,0.0013285160064699997,0.0037211179733276,0.0035172641277311997,1.018070020987222
bad_half_reps_no_weights.mp4,1,bad,right,47.03367784229429,53.1488840749117,49.19995281313221,0.34865310152989676,0.0819651901721955,106.17581091514161,117.97849350307055,52.579683380887396,4.466666666666667,1.9333333333333333,0.36666666666666664,2.310344827586207,6.366666666666666,0.9685863874345549,0.013477595497875156,0.037818377595595865,0.03633760520299057,-0.8192618160059661,-0.9315769548516454,0.03489339947700498,0.09357494910558062,1.0230315847393556,0.7286647723003223,0.8364687715527181,0.0008888905395322465,0.001936425320033324,0.0010488867759704998,0.0013759791851042998,0.0030430257320404,0.0026366233825684,1.0
bad_half_reps_no_weights.mp4,2,bad,right,53.12089049159726,48.66400409776644,51.81000073513807,0.36508758547420334,0.1018854260444641,108.407433597278,110.70178838382633,50.287975416707454,4.833333333333333,4.133333333333334,0.36666666666666664,1.1693548387096773,8.933333333333334,0.4216417910447761,0.0047700301168145534,0.04013106303069275,0.0386929532559177,0.3565370271670745,-0.941211467732669,0.013657867908477672,0.08329210877418514,1.203981870997929,0.7429514270984056,0.9880617243265295,0.0007575718698830103,0.000892809369871666,0.0007124364376067999,0.0009986400604247998,0.0030457794666291,0.0030454576015473463,0.46106057415955587
bad_half_reps_no_weights.mp4,3,bad,right,41.808997131045274,44.04261925960125,52.62678289781912,0.2988139544271578,0.08215466737747201,86.96369750250837,88.31311905145034,55.52513948349526,4.266666666666667,3.8333333333333335,0.36666666666666664,1.1130434782608696,8.066666666666666,0.3925619834710744,0.008696373645714543,0.0317408319790664,0.040721287535765,-0.7030740050853727,-0.9893762400102772,0.02748960852622989,0.08579264283180243,1.0506832420400924,0.693808494155184,0.8658170278585519,0.0010610902216285027,0.001165478799654054,0.0008183002471923002,0.0011680960655211002,0.0033781766891479,0.0033744096755981396,0.6018712870548487
bad_half_reps_no_weights.mp4,4,bad,right,45.024979056896946,50.24135489362166,50.64587587914173,0.3366512810822249,0.07549349665641786,104.61663206720874,106.40604888526812,54.07075113123549,3.7,3.8666666666666667,0.36666666666666664,0.956896551724138,7.533333333333333,0.6592920353982301,0.005999677148922242,0.030677548880781964,0.04156500433555095,-0.5422046501125497,-0.9537482072329653,0.023038977384567172,0.0797192692756653,1.0834467976239106,0.8279079573103627,0.984033899573617,0.0010803549676327666,0.0010515712458511592,0.0008182883262634,0.0010222434997558,0.0031515657901763,0.003127437829971233,0.5430476636367586
