video_name,frame,label,body_side,visibility,shoulder_x,shoulder_y,hip_x,hip_y,knee_x,knee_y,ankle_x,ankle_y,shoulder_x_smooth,shoulder_y_smooth,hip_x_smooth,hip_y_smooth,knee_x_smooth,knee_y_smooth,ankle_x_smooth,ankle_y_smooth,rep_number,shoulder_velocity_x,shoulder_velocity_y,hip_velocity_x,hip_velocity_y,knee_velocity_x,knee_velocity_y,ankle_velocity_x,ankle_velocity_y,hip_speed,hip_to_knee_y,shoulder_to_hip_y
good_form_1.mp4,0,good,right,0.988865166902542,0.3956892788410187,0.3005315065383911,0.3839315176010132,0.5275494456291199,0.394557237625122,0.7070336937904358,0.3828859329223633,0.8864060640335083,0.3956892788410187,0.3005315065383911,0.3839315176010132,0.5275494456291199,0.394557237625122,0.7070336937904358,0.3828859329223633,0.8864060640335083,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17948424816131592,-0.22701793909072876
good_form_1.mp4,1,good,right,0.9886537790298462,0.3958460986614227,0.3011667728424072,0.38233283162117,0.5279440879821777,0.3961041271686554,0.707025408744812,0.3835350573062897,0.8865155577659607,0.3957676887512207,0.30084913969039917,0.3831321746110916,0.5277467668056488,0.39533068239688873,0.7070295512676239,0.3832104951143265,0.8864608108997345,1,7.840991020202637e-05,0.00031763315200805664,-0.0007993429899215698,0.00019732117652893066,0.0007734447717667181,-4.1425228118896484e-06,0.0003245621919631958,5.474686622619629e-05,0.00019732117652893066,-0.17908132076263428,-0.2267773151397705
good_form_1.mp4,2,good,right,0.9886256754398346,0.3973782062530517,0.3028016686439514,0.379892498254776,0.5279438495635986,0.4001697599887848,0.7060175538063049,0.3843190670013428,0.8867120146751404,0.39630452791849774,0.30149998267491657,0.38205228249231976,0.5278124610582987,0.39694370826085407,0.7066922187805176,0.3835800190766652,0.8865445454915365,1,0.0005368391672770367,0.0006508429845173969,-0.0010798921187718524,6.569425264990603e-05,0.0016130258639653339,-0.00033733248710632324,0.00036952396233874696,8.373459180199827e-05,6.569425264990603e-05,-0.1780737042427063,-0.22514218091964722
good_form_1.mp4,3,good,right,0.988885834813118,0.4021240472793579,0.3118076920509338,0.3782525062561035,0.5335281491279602,0.4054327011108398,0.706257700920105,0.3844395875930786,0.889220118522644,0.39775940775871277,0.3040769100189209,0.3811023384332657,0.5292413830757141,0.3990659564733505,0.7065835893154144,0.3837949112057686,0.8872134387493134,1,0.0014548798402150287,0.0025769273440043317,-0.0009499440590540753,0.0014289220174154016,0.002122248212496458,-0.00010862946510314941,0.0002148921291033612,0.0006688932577768592,0.0014289220174154016,-0.17272955179214478,-0.22172045707702642
good_form_1.mp4,4,good,right,0.9889397174119948,0.4065365493297577,0.325937271118164,0.3747196197509765,0.5424601435661316,0.4110818207263946,0.7096011638641357,0.384438544511795,0.8899286985397339,0.39951483607292176,0.30844898223876954,0.3798257946968079,0.5318851351737977,0.40146912932395934,0.7071871042251587,0.38392363786697387,0.8877564907073975,1,0.0017554283142089955,0.004372072219848644,-0.0012765437364578025,0.0026437520980835405,0.0024031728506088146,0.0006035149097443071,0.00012872666120528065,0.0005430519580841286,0.0026437520980835405,-0.16714102029800415,-0.21652287244796758
good_form_1.mp4,5,good,right,0.9895682632923126,0.4079419672489166,0.3411117792129516,0.3699636459350586,0.5554015040397644,0.4148887395858764,0.7154590487480164,0.384503036737442,0.8904587626457214,0.40196537375450136,0.3165650367736816,0.37703222036361694,0.5374555468559266,0.40553542971611023,0.7088721752166748,0.38424705862998965,0.8885670304298401,1,0.002450537681579601,0.008116054534912043,-0.00279357433319094,0.005570411682128906,0.00406630039215089,0.0016850709915160467,0.0003234207630157804,0.0008105397224426047,0.005570411682128906,-0.16005754470825195,-0.2142897248268128
good_form_1.mp4,6,good,right,0.9902964383363724,0.4093299210071563,0.3576322495937347,0.365297794342041,0.570663332939148,0.420348197221756,0.7192986607551575,0.3853848278522491,0.891299843788147,0.40466213822364805,0.3278581321239471,0.37362521290779116,0.5459993958473206,0.4103842437267303,0.7113268256187439,0.38461701273918153,0.8895238876342774,1,0.002696764469146684,0.011293095350265514,-0.0034070074558257835,0.008543848991394043,0.004848814010620095,0.0024546504020691584,0.00036995410919188343,0.0009568572044372781,0.008543848991394043,-0.14863532781600952,-0.21303108334541326
good_form_1.mp4,7,good,right,0.99110609292984,0.4109834432601928,0.379154771566391,0.3604220151901245,0.5859798789024353,0.4254028797149658,0.725761353969574,0.3853693306446075,0.8922272324562073,0.4073831856250763,0.343128752708435,0.36973111629486083,0.5576066017150879,0.4154308676719666,0.7152755856513977,0.3848270654678344,0.8906269311904907,1,0.002721047401428256,0.015270620584487915,-0.003894096612930331,0.011607205867767312,0.0050466239452362505,0.003948760032653764,0.00021005272865287639,0.001103043556213379,0.011607205867767312,-0.13978147506713867,-0.2068251073360443
good_form_1.mp4,8,good,right,0.9917739480733871,0.4137720763683319,0.3942697644233703,0.3583283722400665,0.599433958530426,0.4288424551486969,0.7310550212860107,0.3853023052215576,0.8935601711273193,0.4097127914428711,0.3596211671829223,0.3657462894916534,0.570787763595581,0.42011281847953796,0.7202350497245789,0.38499960899353025,0.8914949417114257,1,0.0023296058177947887,0.016492414474487294,-0.003984826803207442,0.01318116188049312,0.004681950807571389,0.004959464073181152,0.0001725435256958452,0.000868010520934992,0.01318116188049312,-0.13162106275558472,-0.20516419410705572
good_form_1.mp4,9,good,right,0.9924489110708236,0.4172598123550415,0.4224441647529602,0.3558149039745331,0.6193705201148987,0.4328962564468384,0.7332026362419128,0.3850330114364624,0.8953384757041931,0.41185744404792785,0.3789225459098816,0.36196534633636473,0.5861698389053345,0.4244757056236267,0.7249553442001343,0.3851185023784637,0.8925768971443176,1,0.0021446526050567516,0.019301378726959306,-0.003780943155288652,0.01538207530975344,0.004362887144088723,0.004720294475555442,0.00011889338493342727,0.0010819554328919123,0.01538207530975344,-0.11383211612701416,-0.19692635536193848
